Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR13380421_1	3.204828725685217	2.774899724793193
SRR13380425_1	1.68711423945272	0.7048402230407325
SRR13380426_1	3.6816156617643236	1.7056760828849202
SRR13380427_1	5.354604610003941	2.7657697453604317
SRR13380430_1	1.3733097512636354	0.6344263670266665
SRR13380434_1	2.101083362305127	0.8299180397607708
SRR13380441_1	8.96756309716012	0.38595988587678676
SRR13380446_1	0.5729472037459332	0.5569505670474776
SRR13380448_1	0.3933616883429747	0.5461671018330294
SRR13380458_1	12.002926073173189	0.6447778551225465
SRR13380466_1	8.4488531416144	0.3001063567108755
SRR13380471_1	8.459345928779118	0.3049510752742357
