Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR13380434_1 - illumina_universal_adapter	(1, 0.0014520559486232354)	(2, 0.0015428094454121876)	(3, 0.0015919675895062035)	(4, 0.0016373443379006794)	(5, 0.0016827210862951556)	(6, 0.00174700481318733)	(7, 0.0024049676649072335)	(8, 0.0033200654241958352)	(9, 0.00384567942643185)	(10, 0.005067070237383165)	(11, 0.005150260942773038)	(12, 0.005275047000857847)	(13, 0.006122079637554735)	(14, 0.006209051738644147)	(15, 0.006375433149423893)	(16, 0.006451061063414687)	(17, 0.006666600618288448)	(18, 0.006746009927978781)	(19, 0.0069955820441483995)	(20, 0.00722624718182032)	(21, 0.007411535571097764)	(22, 0.007680014665765081)	(23, 0.008065717027118127)	(24, 0.008538391489560588)	(25, 0.009309796212266682)	(26, 0.010353461425339631)	(27, 0.012229033692311311)	(28, 0.014762568811002894)	(29, 0.018010787716907475)	(30, 0.022533336973556927)	(31, 0.028598695675618565)	(32, 0.036426184773665694)	(33, 0.04600446008059969)	(34, 0.05709529366734956)	(35, 0.07048521583941955)	(36, 0.08648051964847238)	(37, 0.10427954920620564)	(38, 0.12419616035568111)	(39, 0.1467635298905339)	(40, 0.17222744853123406)	(41, 0.200240027873424)	(42, 0.23152729589141527)	(43, 0.26914462031043596)	(44, 0.3065842191315783)	(45, 0.3464703809703228)	(46, 0.38953669659238016)	(47, 0.4362066823160988)	(48, 0.48773198011802643)	(49, 0.5426718782366384)	(50, 0.6003948835901115)	(51, 0.6613396380795925)	(52, 0.7267955976386242)	(53, 0.7953938970239736)	(54, 0.8687189410337474)	(55, 0.9465778784872693)	(56, 1.0295719513007662)	(57, 1.1168805966074375)	(58, 1.2096987354483386)	(59, 1.3081851864428493)	(60, 1.4106836982745719)	(61, 1.5180753361414987)	(62, 1.6295811325295246)	(63, 1.7459157712258626)	(64, 1.866973373150926)	(65, 1.993188798810161)
SRR13380434_1 - polya	(1, 0.13053756094380914)	(2, 0.20844943793712462)	(3, 0.2842248263602002)	(4, 0.36238627546968527)	(5, 0.4326899843155269)	(6, 0.5075654005621121)	(7, 0.577710290788573)	(8, 0.6481425670881991)	(9, 0.7106225682316931)	(10, 0.7631839684552946)	(11, 0.8067910236623861)	(12, 0.8502506044371956)	(13, 0.8949315760229564)	(14, 0.9363945798684089)	(15, 0.9729795832614553)	(16, 1.009545679676004)	(17, 1.0472575389875132)	(18, 1.0867164031122096)	(19, 1.1237627367805998)	(20, 1.1631157218257093)	(21, 1.2021321626535597)	(22, 1.2418330361030268)	(23, 1.2806490629588014)	(24, 1.3191398897844158)	(25, 1.3594041911931143)	(26, 1.39919959953507)	(27, 1.4402428684578734)	(28, 1.4825377793572247)	(29, 1.5240877553037666)	(30, 1.5653654707599418)	(31, 1.608514977087389)	(32, 1.6524661393031388)	(33, 1.6937778873206097)	(34, 1.7357513795855)	(35, 1.7789802952226377)	(36, 1.8232717830513459)	(37, 1.8667540522003525)	(38, 1.9073738048048077)	(39, 1.9490485668094346)	(40, 1.9970117898623958)	(41, 2.0397377798714946)	(42, 2.084422532852955)	(43, 2.128838806739748)	(44, 2.1793885044511945)	(45, 2.2293256160593153)	(46, 2.2759502250346393)	(47, 2.3257247366276803)	(48, 2.3727615177342543)	(49, 2.4184823731373886)	(50, 2.465367898415981)	(51, 2.5125256841849404)	(52, 2.561271656147706)	(53, 2.609386135028649)	(54, 2.659954739718593)	(55, 2.7115632282259106)	(56, 2.76389396331184)	(57, 2.8155742983374488)	(58, 2.867950410171773)	(59, 2.9238129688410726)	(60, 2.9803448345491907)	(61, 3.040219454055702)	(62, 3.1042876413930025)	(63, 3.2141598748388276)	(64, 4.469874414554864)	(65, 4.56708653519863)
SRR13380441_1 - illumina_universal_adapter	(1, 0.0003089002945419469)	(2, 0.00037509321480093556)	(3, 0.00042197986665105247)	(4, 0.00043852809671579963)	(5, 0.0006012523590191467)	(6, 0.0006536550875575127)	(7, 0.009051881845416694)	(8, 0.07019759193465744)	(9, 0.07709544583331288)	(10, 0.09284384477826392)	(11, 0.09414839691503482)	(12, 0.0943938623276619)	(13, 0.09662511534805865)	(14, 0.09684851645393273)	(15, 0.10014161423681742)	(16, 0.10033467692090614)	(17, 0.10405527064713012)	(18, 0.10432831644319845)	(19, 0.10773449379819224)	(20, 0.10798547528750757)	(21, 0.11039048472358416)	(22, 0.11074627166997622)	(23, 0.1138821612672458)	(24, 0.11438136620753235)	(25, 0.11586794887501546)	(26, 0.11665674784143508)	(27, 0.11926309407663276)	(28, 0.12091515904476335)	(29, 0.12326776575230157)	(30, 0.12565071088162516)	(31, 0.1298842997398563)	(32, 0.135392102313073)	(33, 0.14041449013772375)	(34, 0.1453237983902654)	(35, 0.1516645285434077)	(36, 0.15801629084992647)	(37, 0.16556779983613942)	(38, 0.1733234036598176)	(39, 0.18250767134575227)	(40, 0.19185466329399029)	(41, 0.20237657957682534)	(42, 0.21375624578468314)	(43, 0.22588058234545455)	(44, 0.2388406045244957)	(45, 0.25316033960719025)	(46, 0.26795997336176247)	(47, 0.284185512940247)	(48, 0.3018479904960205)	(49, 0.32066608611798214)	(50, 0.3404081245852255)	(51, 0.36162295552823137)	(52, 0.38450639966943256)	(53, 0.40822277139055935)	(54, 0.4339028664127028)	(55, 0.4618114564168989)	(56, 0.49074879472345345)	(57, 0.5214099069950858)	(58, 0.5549945399114902)	(59, 0.5906035729724819)	(60, 0.628325263405073)	(61, 0.6681154825957576)	(62, 0.7101341967684948)	(63, 0.7557686992103791)	(64, 0.8033145222247419)	(65, 0.8543658119744868)
SRR13380441_1 - polya	(1, 0.029100062568857873)	(2, 0.04936337028314077)	(3, 0.06911644090376062)	(4, 0.08891088209954234)	(5, 0.10775931614328936)	(6, 0.1279040282087749)	(7, 0.14585609979068143)	(8, 0.1634385942344753)	(9, 0.17988753491883397)	(10, 0.1947478455169769)	(11, 0.20792023664851564)	(12, 0.221128482278528)	(13, 0.23495177045928012)	(14, 0.24713678386362228)	(15, 0.25881983428933375)	(16, 0.27066009290066034)	(17, 0.283120910139415)	(18, 0.2955293246496312)	(19, 0.30802875442520355)	(20, 0.32116804909661284)	(21, 0.33492514435710596)	(22, 0.34897734972042044)	(23, 0.3630571354671761)	(24, 0.3774347893550973)	(25, 0.3923144062216491)	(26, 0.40774011468033755)	(27, 0.4234636912801915)	(28, 0.440706947007658)	(29, 0.45754477109853825)	(30, 0.4746335766787338)	(31, 0.49194302532645934)	(32, 0.5107693950634533)	(33, 0.5296454094906416)	(34, 0.5484690211892915)	(35, 0.5679545620905313)	(36, 0.5881820153063405)	(37, 0.6078854412367661)	(38, 0.6269683085397638)	(39, 0.6478990615333248)	(40, 0.6692380042018162)	(41, 0.6907258809408905)	(42, 0.712423368594118)	(43, 0.7347827854499356)	(44, 0.7597402744259184)	(45, 0.7845047007178125)	(46, 0.8096911068763577)	(47, 0.8376383094173716)	(48, 0.8647525843784598)	(49, 0.8914972822014353)	(50, 0.9183909140949935)	(51, 0.9464098256329546)	(52, 0.9753940505913593)	(53, 1.0051643164778394)	(54, 1.0353896586911)	(55, 1.0669664396929819)	(56, 1.0996740164159546)	(57, 1.1313004421080304)	(58, 1.1633074770915957)	(59, 1.2032880009280247)	(60, 1.2391038868648259)	(61, 1.2803200118794227)	(62, 1.325353261962288)	(63, 1.4191569040843073)	(64, 5.6991966441072)	(65, 5.7604499176918615)
SRR13380446_1 - illumina_universal_adapter	(1, 0.00045443197565153476)	(2, 0.0005491053039122711)	(3, 0.0006090650784774043)	(4, 0.0007763212917380385)	(5, 0.0008678388423900837)	(6, 0.0009688237258682025)	(7, 0.0015021501417370176)	(8, 0.00260036074956156)	(9, 0.1392834005371954)	(10, 0.14268532879936452)	(11, 0.21422680718839435)	(12, 0.2189762524894746)	(13, 0.24633053280161005)	(14, 0.2542704692650771)	(15, 0.2886589778669853)	(16, 0.29820836091088493)	(17, 0.3642335400399225)	(18, 0.3719083911842595)	(19, 0.4789870812247611)	(20, 0.4835377125364938)	(21, 0.5433617886644532)	(22, 0.5469120384742308)	(23, 0.7073580836553094)	(24, 0.7103718512716095)	(25, 0.7378334280224405)	(26, 0.7413205622800443)	(27, 0.8288144964810081)	(28, 0.8340846450875224)	(29, 0.8518138036931497)	(30, 0.8607194081048763)	(31, 0.9348928050195546)	(32, 0.9494598744612732)	(33, 0.9749175324305853)	(34, 0.9962663679533813)	(35, 1.0706259557469724)	(36, 1.1006784259145388)	(37, 1.14101557530883)	(38, 1.1818103124563812)	(39, 1.2608152048899657)	(40, 1.3157699161677145)	(41, 1.3816499295267524)	(42, 1.4510612580299156)	(43, 1.5521534379467299)	(44, 1.6382209606685654)	(45, 1.7362930614138623)	(46, 1.8397552303148037)	(47, 1.968779197846144)	(48, 2.0952248950711834)	(49, 2.2341706274042488)	(50, 2.3839722347112122)	(51, 2.553522698293365)	(52, 2.727892034283989)	(53, 2.916001625982855)	(54, 3.1170278154340942)	(55, 3.334741756880092)	(56, 3.5617336844956426)	(57, 3.8054575449924735)	(58, 4.063865238702545)	(59, 4.338821830192593)	(60, 4.629027139087837)	(61, 4.93536478311871)	(62, 5.255666743068042)	(63, 5.593022525214742)	(64, 5.946498019386636)	(65, 6.318835596325678)
SRR13380446_1 - polya	(1, 0.037175060230382494)	(2, 0.06759360060055711)	(3, 0.09368872564682475)	(4, 0.12239683455308871)	(5, 0.14957123554152876)	(6, 0.18030850945018118)	(7, 0.21158857710752849)	(8, 0.24094993197879153)	(9, 0.2686166342741874)	(10, 0.29457921666089004)	(11, 0.3171714285615104)	(12, 0.3391798216045229)	(13, 0.3607400942271013)	(14, 0.3805268198335952)	(15, 0.3999916561240026)	(16, 0.4192860804235407)	(17, 0.43963453444438166)	(18, 0.459437038938919)	(19, 0.48056181425149797)	(20, 0.5023524586395108)	(21, 0.5242156859125235)	(22, 0.546593304935753)	(23, 0.5685638286474611)	(24, 0.5898937295046051)	(25, 0.6119873285430523)	(26, 0.634361791788673)	(27, 0.6569855614653802)	(28, 0.6809410692929553)	(29, 0.705246868435095)	(30, 0.728896265834627)	(31, 0.7537101451717659)	(32, 0.7782179140808619)	(33, 0.8014791508345249)	(34, 0.8247561664762313)	(35, 0.8488000360768496)	(36, 0.8729385790057287)	(37, 0.8958053435583052)	(38, 0.9183407514619693)	(39, 0.9418860082004143)	(40, 0.9657720889205982)	(41, 0.9903051040505636)	(42, 1.016463344649005)	(43, 1.0411478371041878)	(44, 1.0658922893339355)	(45, 1.0913941281897692)	(46, 1.1166655952801685)	(47, 1.1421106301390458)	(48, 1.1671138561327064)	(49, 1.1925872929900618)	(50, 1.2182563880591561)	(51, 1.2448438144123795)	(52, 1.272422154934732)	(53, 1.2992178626101292)	(54, 1.326669972028134)	(55, 1.3527082930774452)	(56, 1.3793209656515382)	(57, 1.4053813771441102)	(58, 1.4310283817699438)	(59, 1.4580418381003406)	(60, 1.4854182088557368)	(61, 1.5114028816857004)	(62, 1.5373370620739246)	(63, 1.5691946370336625)	(64, 1.7165126473625858)	(65, 1.7450187865018933)
SRR13380448_1 - illumina_universal_adapter	(1, 0.00011276395735882209)	(2, 0.00012301522620962409)	(3, 0.00015376903276203012)	(4, 0.00017427157046363413)	(5, 0.00023577918356844618)	(6, 0.00024603045241924817)	(7, 0.001240403530947043)	(8, 0.005884228320360353)	(9, 0.24542562755705088)	(10, 0.2665637439274046)	(11, 0.28529281211781987)	(12, 0.2996855935843459)	(13, 0.30767133201912067)	(14, 0.3229662251445173)	(15, 0.3365594076406807)	(16, 0.34894294041244955)	(17, 0.3627513995544799)	(18, 0.3687791456387514)	(19, 0.382003282456286)	(20, 0.38622680522281644)	(21, 0.3972469192374286)	(22, 0.4001890333976088)	(23, 0.4171856371522385)	(24, 0.4200662436993139)	(25, 0.4314964084679581)	(26, 0.43477681450021477)	(27, 0.4432341113021264)	(28, 0.4471193421965804)	(29, 0.4546950298773231)	(30, 0.4591030754831679)	(31, 0.46977464635685284)	(32, 0.47500279347076185)	(33, 0.4850080318691446)	(34, 0.49147658251400067)	(35, 0.5025171990663144)	(36, 0.5103901735437304)	(37, 0.5217895845058222)	(38, 0.5311079878912013)	(39, 0.544168104407123)	(40, 0.5557520382085293)	(41, 0.5698270303406804)	(42, 0.5830204133516625)	(43, 0.5988483724573009)	(44, 0.6147480904448949)	(45, 0.6342767576056726)	(46, 0.6524420060092938)	(47, 0.6735288660353935)	(48, 0.6944004494156264)	(49, 0.7181526393429347)	(50, 0.7430632226503836)	(51, 0.7715309962490607)	(52, 0.8007573637426972)	(53, 0.8331206195046792)	(54, 0.8663962381943825)	(55, 0.9036493491981971)	(56, 0.9422453764214666)	(57, 0.9856800025423147)	(58, 1.0317902098332221)	(59, 1.0819906733955995)	(60, 1.1351845074624112)	(61, 1.1917407577122858)	(62, 1.2535866626891743)	(63, 1.3189897579572911)	(64, 1.3901028099753048)	(65, 1.4636966690552122)
SRR13380448_1 - polya	(1, 0.012342527696365617)	(2, 0.03181993851288943)	(3, 0.05062076558526032)	(4, 0.07428069409291135)	(5, 0.09775609976124795)	(6, 0.12241040134742678)	(7, 0.1453732435732233)	(8, 0.16717769241887914)	(9, 0.1878750042286484)	(10, 0.20688085667803532)	(11, 0.22284208227873406)	(12, 0.24048451597096432)	(13, 0.25596393193567535)	(14, 0.2710230458775035)	(15, 0.2859283907865696)	(16, 0.30037242859734964)	(17, 0.31519576335560934)	(18, 0.3297833189303006)	(19, 0.3456010267670881)	(20, 0.36175702647595204)	(21, 0.37964549062060154)	(22, 0.39649857661132004)	(23, 0.4130133707299621)	(24, 0.4287183146093908)	(25, 0.4453971290296456)	(26, 0.4625269992793358)	(27, 0.4804052121551345)	(28, 0.49874473212921927)	(29, 0.5175455592015902)	(30, 0.5358030690248685)	(31, 0.5560185711986501)	(32, 0.5758855302315044)	(33, 0.5943173116252464)	(34, 0.6132719077303793)	(35, 0.6324930368256331)	(36, 0.6533031125927612)	(37, 0.6725549954945673)	(38, 0.692196426612704)	(39, 0.7124016775176347)	(40, 0.7341958750944398)	(41, 0.7557132884122733)	(42, 0.7789529148970413)	(43, 0.8006548510541892)	(44, 0.8248273430043803)	(45, 0.8475544060466084)	(46, 0.8702609665511348)	(47, 0.8948947655996121)	(48, 0.9189442423235936)	(49, 0.9429732165098735)	(50, 0.9673917389124839)	(51, 0.9940962942688232)	(52, 1.0207905983563115)	(53, 1.0486843008993438)	(54, 1.0762397115702995)	(55, 1.1033953227560742)	(56, 1.1317605836662432)	(57, 1.15817810349476)	(58, 1.1854567299067442)	(59, 1.2165488283312267)	(60, 1.2469438404738546)	(61, 1.2756473932561003)	(62, 1.3051915500841116)	(63, 1.3460326051857068)	(64, 1.4637786792060188)	(65, 1.4947990187485456)
SRR13380458_1 - illumina_universal_adapter	(1, 0.00022883783940465548)	(2, 0.000250631919347956)	(3, 0.00029422007923455705)	(4, 0.0003051171192062073)	(5, 0.00042498455889436015)	(6, 0.00043588159886601043)	(7, 0.005731843025088037)	(8, 0.05268718826292901)	(9, 0.34929371925127745)	(10, 0.3774843616579367)	(11, 0.414926591000527)	(12, 0.431500988797407)	(13, 0.44044745861413187)	(14, 0.4584929568071847)	(15, 0.47294243180959294)	(16, 0.4861714383351764)	(17, 0.5029092917316312)	(18, 0.5102865877924384)	(19, 0.5293019225429682)	(20, 0.5327235930940663)	(21, 0.5430539869871908)	(22, 0.5453096742613224)	(23, 0.5504203860080263)	(24, 0.552207500563377)	(25, 0.560118751582795)	(26, 0.5621891891774086)	(27, 0.5649134491703212)	(28, 0.5676812973231203)	(29, 0.5723670245109299)	(30, 0.5759303565816596)	(31, 0.5800494376909434)	(32, 0.5882113206297094)	(33, 0.5949783824521042)	(34, 0.6005358728376459)	(35, 0.6056247905044065)	(36, 0.6118796914481338)	(37, 0.620815264224887)	(38, 0.6284105010851272)	(39, 0.6370409567426742)	(40, 0.6464451022382084)	(41, 0.6580395527680443)	(42, 0.6689039016197796)	(43, 0.680607322549332)	(44, 0.6934549326759076)	(45, 0.7077300550387695)	(46, 0.7229423228391932)	(47, 0.7399526022349393)	(48, 0.7569628816306854)	(49, 0.7767192150992873)	(50, 0.7981972808834099)	(51, 0.8202637868260018)	(52, 0.8429623210869492)	(53, 0.8687447176598737)	(54, 0.8959110383091978)	(55, 0.9251804876730504)	(56, 0.9563242279120269)	(57, 0.9889063774272612)	(58, 1.024899300453622)	(59, 1.0620800008368927)	(60, 1.102824033290893)	(61, 1.146412193177494)	(62, 1.1926810248971211)	(63, 1.2422734538081013)	(64, 1.2953093473501232)	(65, 1.3530309680799546)
SRR13380458_1 - polya	(1, 0.013392462125158171)	(2, 0.028495759525865434)	(3, 0.0419318098109102)	(4, 0.05735112137079532)	(5, 0.07249800693138919)	(6, 0.08907240472826923)	(7, 0.10488400972713376)	(8, 0.11983474856823792)	(9, 0.1337066804521487)	(10, 0.1462818645794331)	(11, 0.15821412334839013)	(12, 0.16940538339927497)	(13, 0.18126136288843045)	(14, 0.19346604765667874)	(15, 0.20402527938920784)	(16, 0.21485693712102819)	(17, 0.22623344685143107)	(18, 0.2367381933841019)	(19, 0.2485069965534842)	(20, 0.25916430164575815)	(21, 0.2724586904111715)	(22, 0.2846960662993347)	(23, 0.29572387075064477)	(24, 0.3065446314424935)	(25, 0.3186403458110253)	(26, 0.33076875129947203)	(27, 0.34300612718763523)	(28, 0.3558864284341259)	(29, 0.36871224448075823)	(30, 0.38162523684716376)	(31, 0.3973714596061984)	(32, 0.4117228612488618)	(33, 0.42560569017274424)	(34, 0.44007695925509577)	(35, 0.45503859513617156)	(36, 0.47099186165466755)	(37, 0.48714127489265324)	(38, 0.5025496894125667)	(39, 0.5182959121716013)	(40, 0.5347722366087365)	(41, 0.5530901608010806)	(42, 0.5718439665922908)	(43, 0.5888106578281502)	(44, 0.6083599475372907)	(45, 0.627451561567622)	(46, 0.646554072637925)	(47, 0.6666809054655629)	(48, 0.6870692672525206)	(49, 0.7087216856761896)	(50, 0.7315291903368537)	(51, 0.7557315161138889)	(52, 0.7817427505262181)	(53, 0.8069693980605884)	(54, 0.8312806942373402)	(55, 0.8551561088152259)	(56, 0.879423816832091)	(57, 0.9045741850866598)	(58, 0.9291034220628446)	(59, 0.9586997826258467)	(60, 0.9871083658319388)	(61, 1.019320015988137)	(62, 1.0540488823777865)	(63, 1.1488858212510586)	(64, 4.222286974855298)	(65, 4.277992643190374)
SRR13380466_1 - illumina_universal_adapter	(1, 0.00013297146002867684)	(2, 0.00015342860772539634)	(3, 0.0001636571815737561)	(4, 0.0001636571815737561)	(5, 0.0003682286585409512)	(6, 0.00038868580623767075)	(7, 0.0030072007114177682)	(8, 0.0235359484250758)	(9, 0.16725763956837872)	(10, 0.1828766718348241)	(11, 0.1899139306424956)	(12, 0.1970534751886507)	(13, 0.2043771340640763)	(14, 0.2109847927701167)	(15, 0.22054850931833306)	(16, 0.22515136755009496)	(17, 0.23513445562609409)	(18, 0.2375177133327619)	(19, 0.2500477162970026)	(20, 0.2517047452604369)	(21, 0.2592227470389813)	(22, 0.26037857588384594)	(23, 0.2687455492918042)	(24, 0.2699116067105172)	(25, 0.27493383647006187)	(26, 0.2764476653996191)	(27, 0.2807232092682335)	(28, 0.28261549543018005)	(29, 0.2865228106402535)	(30, 0.28874241116534755)	(31, 0.2942965267650069)	(32, 0.2995949280184573)	(33, 0.3045660149087601)	(34, 0.3079005299833254)	(35, 0.31428316006470186)	(36, 0.3184052753255909)	(37, 0.32503339117932795)	(38, 0.3306488782220775)	(39, 0.3378600227851711)	(40, 0.3443142528834861)	(41, 0.35223116904211654)	(42, 0.35945254217905853)	(43, 0.36792180132550045)	(44, 0.3765138033581226)	(45, 0.38649689143412175)	(46, 0.3963776937716373)	(47, 0.4080382679587674)	(48, 0.4199750136398032)	(49, 0.43280164524564635)	(50, 0.4460067340838788)	(51, 0.4607665661470619)	(52, 0.47608896977190485)	(53, 0.4932525166894525)	(54, 0.5120424068488894)	(55, 0.5305868112359656)	(56, 0.5507371017172343)	(57, 0.5725444211619374)	(58, 0.5955791694684435)	(59, 0.62004591811372)	(60, 0.6473766674365373)	(61, 0.674973359679412)	(62, 0.7058534241276101)	(63, 0.7384825747038777)	(64, 0.7741496117131081)	(65, 0.8125374493660024)
SRR13380466_1 - polya	(1, 0.009543259400519652)	(2, 0.020201433350510518)	(3, 0.03018452142650964)	(4, 0.04156892411973405)	(5, 0.05271806961444618)	(6, 0.0644297866708181)	(7, 0.0761721894487351)	(8, 0.08663602049560713)	(9, 0.0972430515763562)	(10, 0.10638739659678982)	(11, 0.11524534154946937)	(12, 0.12386802930363665)	(13, 0.1321122598254146)	(14, 0.14056106182415976)	(15, 0.14785403497804028)	(16, 0.15473786517798638)	(17, 0.162971867125916)	(18, 0.17115472620460379)	(19, 0.17894889947705395)	(20, 0.1869885585218647)	(21, 0.19584650347454424)	(22, 0.20509313423346148)	(23, 0.213695364839932)	(24, 0.22160205242471412)	(25, 0.2297849115034019)	(26, 0.23891902794998718)	(27, 0.248267944447388)	(28, 0.25736114659857984)	(29, 0.26638274873283313)	(30, 0.27597715100259457)	(31, 0.28681943928185594)	(32, 0.2974571560841501)	(33, 0.30706178692775987)	(34, 0.3163800177036156)	(35, 0.3267006487166106)	(36, 0.3375020227004785)	(37, 0.3476896822534448)	(38, 0.35823534189110373)	(39, 0.3698856875043855)	(40, 0.3824770619117164)	(41, 0.3941580932465432)	(42, 0.4070154105739314)	(43, 0.41999547078749994)	(44, 0.43501101719689206)	(45, 0.44866616328445236)	(46, 0.4630679952629429)	(47, 0.4781858274108186)	(48, 0.493037716638637)	(49, 0.5082680630988446)	(50, 0.524173495433044)	(51, 0.5412654423336533)	(52, 0.5583573892342624)	(53, 0.5762062505996501)	(54, 0.5934618546818331)	(55, 0.6119755733473642)	(56, 0.6315326065454281)	(57, 0.6498110680124469)	(58, 0.668120215201011)	(59, 0.6908787920136114)	(60, 0.7119701112889292)	(61, 0.7353321739585829)	(62, 0.7617116659135027)	(63, 0.8308875108499597)	(64, 3.08725975892888)	(65, 3.128797997327069)
SRR13380471_1 - illumina_universal_adapter	(1, 4.651007757105771e-05)	(2, 7.751679595176285e-05)	(3, 9.302015514211542e-05)	(4, 9.302015514211542e-05)	(5, 0.00012402687352282055)	(6, 0.0002015436694745834)	(7, 0.0034417457402582704)	(8, 0.02768899951396969)	(9, 0.17332755574814174)	(10, 0.18917198884068206)	(11, 0.20138863588267988)	(12, 0.20748145604448845)	(13, 0.21283011496516008)	(14, 0.21780669326526325)	(15, 0.22704669534271338)	(16, 0.23084501834434976)	(17, 0.23968193308285074)	(18, 0.2416198529816448)	(19, 0.2512939491164248)	(20, 0.25251871449246266)	(21, 0.25850301113993873)	(22, 0.2594332126913599)	(23, 0.26551052949397813)	(24, 0.2664407310453993)	(25, 0.2703475775613681)	(26, 0.27144831606388314)	(27, 0.2749985853184739)	(28, 0.2765334178783188)	(29, 0.2795410695612472)	(30, 0.28098288196594995)	(31, 0.2857424132373882)	(32, 0.29065697810073)	(33, 0.2950909388291708)	(34, 0.2975714762996272)	(35, 0.30247053780377864)	(36, 0.3053851693315649)	(37, 0.3103927543500488)	(38, 0.31403604375978167)	(39, 0.31991181689292525)	(40, 0.324779871678696)	(41, 0.33074866496698174)	(42, 0.3365469213041736)	(43, 0.3427792716986953)	(44, 0.3495232329464987)	(45, 0.35769350323981447)	(46, 0.3655382029901329)	(47, 0.3743131042918724)	(48, 0.3819407570135259)	(49, 0.3921729740791586)	(50, 0.40206411724260355)	(51, 0.4132885492964188)	(52, 0.4249005653299929)	(53, 0.4375668097885109)	(54, 0.4511012423616887)	(55, 0.4661705074947114)	(56, 0.4823250077710588)	(57, 0.5000918574032028)	(58, 0.5190679690521944)	(59, 0.5387262285055614)	(60, 0.5605394548863875)	(61, 0.5838410037494874)	(62, 0.6090649691521911)	(63, 0.6346145050978921)	(64, 0.6639313573268488)	(65, 0.6940698875928942)
SRR13380471_1 - polya	(1, 0.006371880627234906)	(2, 0.01527080880249728)	(3, 0.02347208581419379)	(4, 0.03339423569601944)	(5, 0.04316135198594155)	(6, 0.054385784039756815)	(7, 0.06404437681534647)	(8, 0.07395102333798176)	(9, 0.08340807244409683)	(10, 0.09164035617417404)	(11, 0.09925250553663716)	(12, 0.1064615675601511)	(13, 0.11443029418399232)	(14, 0.12171687300345803)	(15, 0.12855385440640352)	(16, 0.135390835809349)	(17, 0.14250687767772083)	(18, 0.14971593970123476)	(19, 0.1568629882879873)	(20, 0.16404104359312055)	(21, 0.1719012467026293)	(22, 0.17988547668566088)	(23, 0.1873891025337915)	(24, 0.19478420486758968)	(25, 0.20258239454033702)	(26, 0.21031857077632296)	(27, 0.21864387466154228)	(28, 0.22752729947761433)	(29, 0.2358371000036433)	(30, 0.24453448450943108)	(31, 0.25422408400340146)	(32, 0.2635571062359937)	(33, 0.27231650417854286)	(34, 0.2809983853251403)	(35, 0.2904244277128747)	(36, 0.3011527522725987)	(37, 0.3114469827749928)	(38, 0.3217722199957676)	(39, 0.3329191352536311)	(40, 0.34349242622145154)	(41, 0.35550752959397475)	(42, 0.36758464640325944)	(43, 0.3808710252293916)	(44, 0.3949480753742317)	(45, 0.4084515012290288)	(46, 0.4213657994345925)	(47, 0.4360164738694757)	(48, 0.4497369467529377)	(49, 0.4648372186043411)	(50, 0.48029406771712263)	(51, 0.4962780310423761)	(52, 0.5130991757639086)	(53, 0.5303854212611517)	(54, 0.5477956936319177)	(55, 0.5655470399048714)	(56, 0.5833603996145865)	(57, 0.6002280544136901)	(58, 0.6180259107642149)	(59, 0.6404747748718453)	(60, 0.6613577997012503)	(61, 0.6828299521798886)	(62, 0.7081934478153054)	(63, 0.7808421889812975)	(64, 3.296758325110093)	(65, 3.347717866768782)
