experiment_alias	run_accession
GSM5009280	SRR13380471
GSM5009275	SRR13380466
GSM5009267	SRR13380458
GSM5009257	SRR13380448
GSM5009255	SRR13380446
GSM5009250	SRR13380441
GSM5009243	SRR13380434
GSM5009239	SRR13380430
GSM5009236	SRR13380427
GSM5009235	SRR13380426
GSM5009234	SRR13380425
GSM5009230	SRR13380421
