Sample	featurecounts-Assigned	featurecounts-percent_assigned
SRR13380421	15.831842	48.76764213705563
SRR13380425	15.01681	48.618801594996604
SRR13380426	14.439979999999998	49.889632854289694
SRR13380427	15.457165999999999	49.663511395206775
SRR13380430	16.217344999999998	49.735097314889366
SRR13380434	14.016891	49.589325585588085
SRR13380441	20.514167	49.25202428277414
SRR13380446	17.616266	48.68194033954698
SRR13380448	5.4049439999999995	45.15317988611757
SRR13380458	3.894271	39.90447161302857
SRR13380466	5.482455	51.182490953951444
SRR13380471	3.530989	48.997742572191065
