lncRNA,target_symbol,mature_mirna_id
NEAT1,MMP14,hsa-miR-22-3p
NEAT1,MMP14,hsa-miR-24-3p
NEAT1,MMP2,hsa-miR-106b-5p
NEAT1,MMP2,hsa-miR-125b-5p
NEAT1,MMP2,hsa-miR-130b-3p
NEAT1,MMP2,hsa-miR-17-5p
NEAT1,MMP2,hsa-miR-218-5p
NEAT1,MMP2,hsa-miR-221-3p
NEAT1,MMP2,hsa-miR-29a-3p
NEAT1,MMP2,hsa-miR-29b-3p
NEAT1,MMP2,hsa-miR-29c-3p
NEAT1,MMP2,hsa-miR-491-5p
NEAT1,MMP2,hsa-miR-519d-3p
NEAT1,MMP2,hsa-miR-520g-3p
NEAT1,MMP2,hsa-miR-524-5p
NEAT1,MMP2,hsa-miR-708-5p
NEAT1,NGFR,hsa-miR-133a-3p
NEAT1,NGFR,hsa-miR-296-5p
NEAT1,NR4A2,hsa-miR-129-5p
NEAT1,NR4A2,hsa-miR-19a-3p
NEAT1,NR4A2,hsa-miR-206
NEAT1,NR4A2,hsa-miR-217
NEAT1,NR4A2,hsa-miR-302d-3p
NEAT1,NR4A2,hsa-miR-34a-5p
NEAT1,NR4A2,hsa-miR-372-3p
NEAT1,PAPPA,hsa-miR-141-3p
NEAT1,PAPPA,hsa-miR-214-3p
NEAT1,PAPPA,hsa-miR-490-3p
NEAT1,PDGFRB,hsa-miR-24-3p
NEAT1,PDGFRB,hsa-miR-29a-3p
NEAT1,PDGFRB,hsa-miR-29b-3p
NEAT1,PDGFRB,hsa-miR-29c-3p
NEAT1,PDGFRB,hsa-miR-30b-5p
NEAT1,PDGFRB,hsa-miR-34a-5p
NEAT1,PDGFRB,hsa-miR-34c-5p
NEAT1,PDGFRB,hsa-miR-9-5p
NEAT1,POSTN,hsa-let-7f-5p
NEAT1,PTP4A3,hsa-miR-495-3p
NEAT1,RAB34,hsa-miR-9-5p
NEAT1,RUNX1,hsa-miR-101-3p
NEAT1,RUNX1,hsa-miR-106a-5p
NEAT1,RUNX1,hsa-miR-144-5p
NEAT1,RUNX1,hsa-miR-17-5p
NEAT1,RUNX1,hsa-miR-181a-5p
NEAT1,RUNX1,hsa-miR-18a-5p
NEAT1,RUNX1,hsa-miR-20a-5p
NEAT1,RUNX1,hsa-miR-221-3p
NEAT1,RUNX1,hsa-miR-27b-3p
NEAT1,RUNX1,hsa-miR-9-5p
NEAT1,RUNX3,hsa-miR-106a-5p
NEAT1,RUNX3,hsa-miR-106b-5p
NEAT1,RUNX3,hsa-miR-130a-3p
NEAT1,RUNX3,hsa-miR-130b-3p
NEAT1,RUNX3,hsa-miR-148a-3p
NEAT1,RUNX3,hsa-miR-20a-5p
NEAT1,RUNX3,hsa-miR-301a-3p
NEAT1,RUNX3,hsa-miR-4295
NEAT1,RUNX3,hsa-miR-495-3p
NEAT1,RUNX3,hsa-miR-532-5p
NEAT1,SERPINF2,hsa-miR-224-5p
NEAT1,SERPINH1,hsa-miR-29a-3p
NEAT1,SERPINH1,hsa-miR-29b-3p
NEAT1,SERPINH1,hsa-miR-29c-3p
NEAT1,SFRP2,hsa-miR-218-5p
NEAT1,SFRP2,hsa-miR-29a-3p
NEAT1,SLPI,hsa-miR-146a-5p
NEAT1,SOCS1,hsa-let-7i-5p
NEAT1,SOCS1,hsa-miR-122-5p
NEAT1,SOCS1,hsa-miR-142-5p
NEAT1,SOCS1,hsa-miR-19a-3p
NEAT1,SOCS1,hsa-miR-19b-3p
NEAT1,SOCS1,hsa-miR-221-3p
NEAT1,SOCS1,hsa-miR-30b-5p
NEAT1,SOCS1,hsa-miR-30d-5p
NEAT1,SPP1,hsa-miR-181b-5p
NEAT1,SPP1,hsa-miR-299-5p
NEAT1,SPP1,hsa-miR-4262
NEAT1,TFF1,hsa-miR-218-5p
NEAT1,TFF1,hsa-miR-423-5p
NEAT1,TLR7,hsa-miR-17-5p
NEAT1,TLR7,hsa-miR-19a-3p
NEAT1,TLR7,hsa-miR-758-3p
NEAT1,TREM2,hsa-miR-34a-5p
NEAT1,TWIST2,hsa-miR-138-5p
NEAT1,VCAN,hsa-miR-23b-3p
NEAT1,VIM,hsa-miR-124-3p
NEAT1,VIM,hsa-miR-129-5p
NEAT1,VIM,hsa-miR-134-5p
NEAT1,VIM,hsa-miR-138-5p
NEAT1,VIM,hsa-miR-204-5p
NEAT1,VIM,hsa-miR-30a-5p
NEAT1,VIM,hsa-miR-30c-5p
NEAT1,VIM,hsa-miR-320a
NEAT1,VIM,hsa-miR-506-3p
NR2F2-AS1,AQP1,hsa-miR-320a
NR2F2-AS1,CCN2,hsa-miR-18a-5p
NR2F2-AS1,CCN2,hsa-miR-18b-5p
NR2F2-AS1,FAS,hsa-miR-23a-3p
NR2F2-AS1,FAS,hsa-miR-320a
NR2F2-AS1,HOXB4,hsa-miR-23a-3p
NR2F2-AS1,IGF1,hsa-miR-18b-5p
NR2F2-AS1,NR4A2,hsa-miR-19a-3p
NR2F2-AS1,RUNX1,hsa-miR-18a-5p
NR2F2-AS1,TLR7,hsa-miR-19a-3p
NR2F2-AS1,VCAN,hsa-miR-23b-3p
NR2F2-AS1,VIM,hsa-miR-320a
