node,class,degree
LSP1,mRNA,1
CIT,mRNA,1
ABCC2,mRNA,1
HOXB4,mRNA,1
ALPK2,mRNA,1
CCL4,mRNA,1
LAMB3,mRNA,1
COL15A1,mRNA,1
MFAP4,mRNA,1
SLPI,mRNA,1
GPR85,mRNA,1
ASCL1,mRNA,1
IGFBP3,mRNA,1
EPHB4,mRNA,1
CFH,mRNA,1
GRIA1,mRNA,1
AQP1,mRNA,1
