category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,12/310,67/7995,0.17910447761194,4.61916225324988,5.97454198339598,8.23197787120713e-06,9.18688730426716e-05,9.18688730426716e-05,HLA-DRB1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/HLA-DRB5/HLA-DRA/ITGB2/HLA-DPB1/HLA-DQA2/PRF1/HLA-DOA,12
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,10/310,47/7995,0.212765957446809,5.48730267673301,6.19649847550142,9.59334996284252e-06,0.000102944024601272,0.000102944024601272,HLA-DRB1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DQA2/HLA-DOA,10
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,14/310,95/7995,0.147368421052632,3.80067911714771,5.51508986140992,1.54736254771672e-05,0.000159894129930727,0.000159894129930727,CCL19/CCR7/CCL4L2/CSF1R/IL18/IL18R1/CCL5/CCL21/IL2RG/CCL4/CXCL2/CCR1/TNFSF14/CCL4L1,14
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,23/310,230/7995,0.1,2.57903225806452,4.88006013019522,2.68951668202193e-05,0.000267991126530043,0.000267991126530043,VIM/FBLN1/LMOD1/COL4A2/COL1A1/MYH11/COL3A1/COL6A2/COL4A5/FLNC/COL5A1/PDLIM3/ELN/BGN/COL6A1/FN1/COL11A1/SDC3/LDB3/MYBPC2/COMP/COL6A3/VCAN,23
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,18/310,158/7995,0.113924050632911,2.93813801551654,4.94173329822633,3.71802077437952e-05,0.000357699240017892,0.000357699240017892,HLA-DRB1/HLA-DMA/HLA-DMB/HLA-DQA1/TPSB2/HLA-DQB2/IL18/TPSAB1/CCL5/PYCARD/TLR7/HLA-DRB5/HLA-DRA/TMPRSS11D/HLA-DPB1/HLA-DQA2/HLA-DOA/FAS,18
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,11/310,71/7995,0.154929577464789,3.99568378009995,5.09206444998656,7.97064123958107e-05,0.000741269635281039,0.000741269635281039,HLA-DRB1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/HLA-DRB5/CD74/HLA-DRA/HLA-DPB1/HLA-DQA2/HLA-DOA,11
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,27/310,334/7995,0.0808383233532934,2.08484643615994,4.06761417222012,0.000223315487404057,0.00200983938663651,0.00200983938663651,COL4A2/CSF3R/COL1A1/CSF1R/PPP2R3B/LAMB4/TNN/NGFR/FGFR3/COL6A2/VTN/COL4A5/PDGFRB/IL2RG/NTRK2/IL4R/IGF1/LAMB3/COL6A1/LAMB2/FN1/CREB3L1/SPP1/PIK3R6/COMP/IL7R/COL6A3,27
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,8/310,49/7995,0.163265306122449,4.21066491112574,4.52751319132407,0.000525011882526506,0.00457744735077797,0.00457744735077797,GYPC/IL18/KLRK1/ITGB2/KLRC4-KLRK1/GYPB/COMP/KLRB1,8
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,16/310,165/7995,0.096969696969697,2.50087976539589,3.91244257831249,0.000641977154140643,0.0054276250304618,0.0054276250304618,C3/HLA-DRB1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/CCL5/HLA-DRB5/CD74/HLA-DRA/TNFSF14/HLA-DPB1/BST2/HLA-DQA2/HLA-DOA/FAS,16
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,17/310,200/7995,0.085,2.19217741935484,3.42916839801853,0.00191585344327167,0.0157212679609646,0.0157212679609646,COL4A2/COL1A1/LAMB4/TNN/COL6A2/VTN/COL4A5/PDGFRB/IGF1/LAMB3/COL6A1/PARVG/LAMB2/FN1/SPP1/COMP/COL6A3,17
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,16/310,191/7995,0.0837696335078534,2.16044587062996,3.26004746810168,0.00298869265283054,0.023824150003992,0.023824150003992,VIM/HLA-DRB1/HLA-DMA/HLA-DMB/HLA-DQA1/HLA-DQB2/CD3E/CD3D/HLA-DRB5/HLA-DRA/ISG15/RUNX3/HLA-DPB1/HLA-DQA2/HLA-DOA/FAS,16
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,11/310,114/7995,0.0964912280701754,2.48853989813243,3.21486858341525,0.00456955206598609,0.0354140285113922,0.0354140285113922,FCGR3A/SH2D1A/LAT/KLRK1/FCER1G/ITGB2/KLRC4-KLRK1/LCP2/PRF1/TYROBP/FAS,11
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,10/310,100/7995,0.1,2.57903225806452,3.19121392298186,0.00523091002408751,0.0394438891005517,0.0394438891005517,PLCB2/COL4A2/COL1A1/COL3A1/CYBB/COL4A5/FN1/MMP2/AGT/EDN1,10
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,10/310,101/7995,0.099009900990099,2.55349728521239,3.15546674428361,0.00561220135767394,0.0412053731260797,0.0412053731260797,PLCB2/C3/C1QB/CD3E/CCL5/CD3D/C1QC/GNA15/C1QA/FAS,10
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,12/310,135/7995,0.0888888888888889,2.29247311827957,3.04171215526527,0.00604628137480084,0.0432541667581906,0.0432541667581906,FCGR3A/NCF4/TREM2/CSF1R/ACP5/LILRB4/LCP2/SOCS1/TNFRSF11B/FOSB/TYROBP/NCF2,12
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,13/310,154/7995,0.0844155844155844,2.1771051529116,2.96231254212628,0.00670575283128323,0.0467726259982005,0.0467726259982005,PLCB2/C3/FCGR3A/NCF4/FGA/CYBB/SELPLG/TLR7/FGG/ITGB2/FPR1/CTSG/NCF2,13
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,10/310,104/7995,0.0961538461538462,2.47983870967742,3.05074574591156,0.00688759978571926,0.0468692765906262,0.0468692765906262,BCL2A1/CCL19/LY96/CCL4L2/CCL21/LAT/CCL4/CXCL2/TNFSF14/CCL4L1,10
