node,class,degree,betweenness
hsa-let-7f-5p,miRNA,2,178
hsa-miR-101-3p,miRNA,2,14.6002572985994
hsa-miR-144-5p,miRNA,2,14.6002572985994
hsa-miR-301a-3p,miRNA,2,15.0405280280729
hsa-miR-4295,miRNA,2,15.0405280280729
hsa-miR-224-5p,miRNA,2,178
hsa-miR-142-5p,miRNA,2,18.5709985020488
hsa-miR-299-5p,miRNA,2,57.9369929599747
hsa-miR-4262,miRNA,2,57.9369929599747
hsa-miR-423-5p,miRNA,2,80.4971861471861
hsa-miR-758-3p,miRNA,2,50.3229379388098
hsa-miR-134-5p,miRNA,2,17.019585888959
hsa-miR-30a-5p,miRNA,2,17.019585888959
hsa-miR-506-3p,miRNA,2,17.019585888959
BMPR1B,mRNA,2,7.53737244229865
BRCA2,mRNA,2,3.12720755946562
CDH11,mRNA,2,0.777183600713013
CSF1R,mRNA,2,5.43037586103624
NGFR,mRNA,2,0.950490196078431
SFRP2,mRNA,2,4.14976937693656
TFF1,mRNA,2,1.6
FAS,mRNA,2,1.51515151515152
DIO3OS,lncRNA,1,0
LINC01013,lncRNA,1,0
LINC01915,lncRNA,1,0
AURKB,mRNA,1,0
TWIST2,mRNA,1,0
AQP1,mRNA,1,0
CCR7,mRNA,1,0
CFH,mRNA,1,0
COL15A1,mRNA,1,0
COL16A1,mRNA,1,0
CXCL2,mRNA,1,0
EPHB4,mRNA,1,0
FES,mRNA,1,0
GBP2,mRNA,1,0
HAND2,mRNA,1,0
HOXB4,mRNA,1,0
IL18,mRNA,1,0
LAMB3,mRNA,1,0
LGALS1,mRNA,1,0
LGALS9,mRNA,1,0
LSP1,mRNA,1,0
MARCKSL1,mRNA,1,0
MKI67,mRNA,1,0
POSTN,mRNA,1,0
PTP4A3,mRNA,1,0
RAB34,mRNA,1,0
SERPINF2,mRNA,1,0
SLPI,mRNA,1,0
TREM2,mRNA,1,0
VCAN,mRNA,1,0
