lncRNA,target_symbol,lnc_id,mrna_id,rho_all,padj_all,rho_t2d,padj_t2d
NEAT1,CCR7,ENSG00000245532,ENSG00000126353,0.315526204386397,0.0298192474733401,0.169915424356201,0.470919048696684
NEAT1,COL3A1,ENSG00000245532,ENSG00000168542,0.322400829660358,0.0275694983666359,0.205668016194332,0.369549423471913
NEAT1,IGF1,ENSG00000245532,ENSG00000017427,0.369064216703995,0.010060140573626,0.336505372355972,0.119877168750533
NEAT1,POSTN,ENSG00000245532,ENSG00000133110,0.305565463803668,0.0352322443082111,0.163157894736842,0.486143564768195
NEAT1,FN1,ENSG00000245532,ENSG00000115414,0.356300233341976,0.0139238687953742,0.167813765182186,0.470919048696684
NEAT1,SOCS1,ENSG00000245532,ENSG00000185338,0.391752597906167,0.00611337591575854,0.23057847086567,0.322256254115918
NEAT1,HAND2,ENSG00000245532,ENSG00000164107,0.442118226600985,0.00210214865217417,0.317004048582996,0.142530938145431
NEAT1,EDN1,ENSG00000245532,ENSG00000078401,0.443454165442028,0.00190768551727518,0.278137651821862,0.222258695792192
NEAT1,RUNX1,ENSG00000245532,ENSG00000159216,0.537991606105216,0.000147947040066892,0.416801619433198,0.0435579474822865
NEAT1,RUNX3,ENSG00000245532,ENSG00000020633,0.425228496388278,0.00285203941810632,0.419838056680162,0.0433484027417293
NEAT1,MMP2,ENSG00000245532,ENSG00000087245,0.471480425200934,0.00117823352656854,0.262348178137652,0.244485126188261
NEAT1,CYBB,ENSG00000245532,ENSG00000165168,0.444322011926368,0.00200713653776418,0.327732793522267,0.131423144105118
NEAT1,MMP14,ENSG00000245532,ENSG00000157227,0.409583111713548,0.0041430024495633,0.38453363073691,0.0666144652788782
NEAT1,HMOX1,ENSG00000245532,ENSG00000100292,0.510907270655926,0.000346595931599992,0.522900957195808,0.00896163004761859
NEAT1,VIM,ENSG00000245532,ENSG00000026025,0.514907959554058,0.000346595931599992,0.319838056680162,0.13921985437577
