lncRNA,mature_mirna_id,clipExpNum
NEAT1,hsa-miR-576-5p,6
NEAT1,hsa-miR-3942-5p,8
NEAT1,hsa-miR-4766-3p,8
NEAT1,hsa-miR-4703-5p,8
NEAT1,hsa-miR-411-3p,10
NEAT1,hsa-miR-379-3p,10
NEAT1,hsa-miR-605-3p,10
NEAT1,hsa-miR-5009-3p,5
NEAT1,hsa-miR-432-5p,2
NEAT1,hsa-miR-409-5p,3
NEAT1,hsa-miR-369-3p,6
NEAT1,hsa-miR-3614-5p,6
NEAT1,hsa-miR-2278,5
NEAT1,hsa-miR-421,5
NEAT1,hsa-miR-23c,3
NEAT1,hsa-miR-23a-3p,3
NEAT1,hsa-miR-23b-3p,3
NEAT1,hsa-miR-130a-5p,3
NEAT1,hsa-miR-140-5p,4
NEAT1,hsa-miR-205-5p,3
NEAT1,hsa-miR-362-3p,3
NEAT1,hsa-miR-329-3p,3
NEAT1,hsa-miR-656-3p,0
NEAT1,hsa-miR-624-5p,4
NEAT1,hsa-miR-506-5p,4
NEAT1,hsa-miR-656-3p,4
NEAT1,hsa-miR-448,4
NEAT1,hsa-miR-150-5p,3
NEAT1,hsa-miR-6720-5p,3
NEAT1,hsa-miR-6512-3p,3
NEAT1,hsa-miR-1294,2
NEAT1,hsa-miR-668-3p,4
NEAT1,hsa-miR-671-5p,8
NEAT1,hsa-miR-342-3p,5
NEAT1,hsa-miR-3171,16
NEAT1,hsa-miR-450b-5p,21
NEAT1,hsa-miR-2682-5p,17
NEAT1,hsa-miR-34b-5p,17
NEAT1,hsa-miR-449c-5p,17
NEAT1,hsa-miR-665,18
NEAT1,hsa-miR-132-3p,17
NEAT1,hsa-miR-212-3p,17
NEAT1,hsa-miR-301a-3p,16
NEAT1,hsa-miR-454-3p,16
NEAT1,hsa-miR-301b-3p,16
NEAT1,hsa-miR-130a-3p,16
NEAT1,hsa-miR-130b-3p,16
NEAT1,hsa-miR-148a-3p,16
NEAT1,hsa-miR-148b-3p,16
NEAT1,hsa-miR-3666,16
NEAT1,hsa-miR-152-3p,16
NEAT1,hsa-miR-4295,14
NEAT1,hsa-miR-34c-5p,14
NEAT1,hsa-miR-34a-5p,14
NEAT1,hsa-miR-449a,14
NEAT1,hsa-miR-449b-5p,14
NEAT1,hsa-miR-485-5p,15
NEAT1,hsa-miR-6884-5p,15
NEAT1,hsa-miR-204-5p,15
NEAT1,hsa-miR-211-5p,15
NEAT1,hsa-miR-129-1-3p,2
NEAT1,hsa-miR-129-2-3p,2
NEAT1,hsa-miR-331-3p,2
NEAT1,hsa-miR-133a-3p,2
NEAT1,hsa-miR-133b,2
NEAT1,hsa-miR-433-3p,4
NEAT1,hsa-miR-186-5p,4
NEAT1,hsa-miR-1252-5p,5
NEAT1,hsa-miR-1301-3p,5
NEAT1,hsa-miR-5047,5
NEAT1,hsa-miR-6799-3p,6
NEAT1,hsa-miR-3173-5p,6
NEAT1,hsa-miR-410-3p,11
NEAT1,hsa-miR-1914-3p,13
NEAT1,hsa-miR-5194,13
NEAT1,hsa-miR-142-3p,13
NEAT1,hsa-miR-199a-3p,13
NEAT1,hsa-miR-199b-3p,13
NEAT1,hsa-miR-3129-5p,13
NEAT1,hsa-miR-2355-5p,11
NEAT1,hsa-miR-3164,10
NEAT1,hsa-miR-6820-3p,10
NEAT1,hsa-miR-3681-3p,12
NEAT1,hsa-miR-216a-3p,11
NEAT1,hsa-miR-128-3p,9
NEAT1,hsa-miR-541-3p,8
NEAT1,hsa-miR-654-5p,6
NEAT1,hsa-miR-299-5p,6
NEAT1,hsa-miR-1270,4
NEAT1,hsa-miR-620,4
NEAT1,hsa-miR-432-5p,4
NEAT1,hsa-miR-330-3p,1
NEAT1,hsa-miR-4731-5p,0
NEAT1,hsa-miR-29b-3p,20
NEAT1,hsa-miR-29a-3p,20
NEAT1,hsa-miR-29c-3p,20
NEAT1,hsa-miR-3612,9
NEAT1,hsa-miR-650,9
NEAT1,hsa-miR-331-3p,6
NEAT1,hsa-miR-186-5p,7
NEAT1,hsa-miR-605-3p,4
NEAT1,hsa-miR-3679-5p,8
NEAT1,hsa-miR-1185-5p,7
NEAT1,hsa-miR-3200-5p,7
NEAT1,hsa-miR-1306-5p,7
NEAT1,hsa-miR-3942-5p,5
NEAT1,hsa-miR-4703-5p,5
NEAT1,hsa-miR-4766-3p,5
NEAT1,hsa-miR-892c-5p,2
