ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0042119,neutrophil activation,8/481,41/16547,0.195121951219512,6.71243851731657,6.3366207281169,1.9752651069988e-05,0.000371172950703208,0.000203599245711502,CD300A/CCL5/PLA2G2A/FCER1G/ITGB2/IL16/TYROBP/CTSG,8
GO:0046638,positive regulation of alpha-beta T cell differentiation,8/481,41/16547,0.195121951219512,6.71243851731657,6.3366207281169,1.9752651069988e-05,0.000371172950703208,0.000203599245711502,HLA-DRB1/CCL19/RUNX1/IL18/LILRB4/HLA-DRA/RUNX3/SOCS1,8
GO:0007599,hemostasis,19/481,217/16547,0.0875576036866359,3.01209078628434,5.16237458214355,1.99425129338905e-05,0.00037288550173913,0.00020453863016421,C4BPB/FBLN1/F12/WAS/ANGPTL7/FGA/SERPING1/COL3A1/SAA1/VTN/SERPINF2/FERMT3/TPH1/FGG/FCER1G/PROZ/FN1/EDN1/CTSG,19
GO:0030217,T cell differentiation,21/481,257/16547,0.0817120622568093,2.81099686936263,5.06277801987833,2.11066086302049e-05,0.000392707688651646,0.0002154116808434,HLA-DRB1/SPN/CD1D/CCL19/CCR7/RUNX1/IL18/IL18R1/CD3E/IL2RG/PTPRC/CD3D/CD74/LILRB4/RASGRP1/HLA-DRA/RUNX3/LGALS1/SOCS1/PIK3R6/IL7R,21
GO:0098883,synapse pruning,6/481,21/16547,0.285714285714286,9.82892782892783,7.00485107927007,2.18810975652928e-05,0.000405122085804466,0.000222221341653781,C3/TREM2/ADGRB3/C1QB/C1QC/C1QA,6
GO:0002715,regulation of natural killer cell mediated immunity,9/481,54/16547,0.166666666666667,5.73354123354123,6.02834892827113,2.28484293174553e-05,0.000420968378205018,0.000230913497625718,INPP5D/KLRK1/RASGRP1/KLRC4-KLRK1/LGALS9/PIK3R6/HAVCR2/KLRB1/TIGIT,9
GO:0031294,lymphocyte costimulation,8/481,42/16547,0.19047619047619,6.55261855261855,6.23418789551038,2.37861030037839e-05,0.000436117043909184,0.000239222984901288,CCL19/CCR7/CCL21/KLRK1/LILRB4/PDCD1LG2/KLRC4-KLRK1/TNFSF14,8
GO:0042325,regulation of phosphorylation,28/481,407/16547,0.0687960687960688,2.3666705828868,4.83030387099673,2.39423777026809e-05,0.000436861645328626,0.000239631420610482,SRPX2/FBLN1/C3/ODAM/PTK6/CSF1R/CD300A/ADIPOQ/FGFR3/IL18/SAMSN1/PYCARD/PDGFRB/IL2RG/IL4R/PTPRC/LAT/IGF1/IGFBP3/RASGRP1/SFRP2/ITGB2/LCP2/FN1/AGT/PIK3R6/SLIT2/IL7R,28
GO:0001503,ossification,24/481,322/16547,0.0745341614906832,2.56406812928552,4.90406724416704,2.54727614144093e-05,0.000462551057029923,0.000253722816104811,COL1A1/TWIST2/TNN/RUNX1/FGFR3/NOTUM/MMP14/CHRDL2/CDH11/BMPR1B/WNT3/CCN2/IGF1/IGFBP3/COL6A1/ISG15/CHRDL1/CCR1/RUNX3/MRC2/CREB3L1/SPP1/GLI1/VCAN,24
GO:0046635,positive regulation of alpha-beta T cell activation,9/481,55/16547,0.163636363636364,5.62929502929503,5.95010607588072,2.66245618924172e-05,0.000481152967787847,0.000263926509536487,HLA-DRB1/CCL19/RUNX1/IL18/LILRB4/HLA-DRA/RUNX3/LGALS9/SOCS1,9
GO:0001704,formation of primary germ layer,11/481,83/16547,0.132530120481928,4.55920146281592,5.62456714386519,2.72888717105429e-05,0.000490809849765337,0.000269223592426867,COL4A2/MMP14/VTN/COL5A1/LAMB3/COL6A1/ITGB2/FN1/MMP2/COL11A1/COL8A1,11
GO:1901623,regulation of lymphocyte chemotaxis,6/481,22/16547,0.272727272727273,9.38215838215838,6.80709224397055,2.93514151691081e-05,0.00052266818987315,0.000286698826016175,CCL5/CCL21/KLRK1/PADI2/KLRC4-KLRK1/CCL4,6
GO:0032611,interleukin-1 beta production,12/481,99/16547,0.121212121212121,4.16984816984817,5.47349437726042,2.96137126377692e-05,0.00052266818987315,0.000286698826016175,CCL19/CCR7/TREM2/PYCARD/IGF1/LILRB4/CD33/ARG2/LGALS9/CARD16/GBP5/TYROBP,12
GO:0032651,regulation of interleukin-1 beta production,12/481,99/16547,0.121212121212121,4.16984816984817,5.47349437726042,2.96137126377692e-05,0.00052266818987315,0.000286698826016175,CCL19/CCR7/TREM2/PYCARD/IGF1/LILRB4/CD33/ARG2/LGALS9/CARD16/GBP5/TYROBP,12
GO:0045582,positive regulation of T cell differentiation,12/481,99/16547,0.121212121212121,4.16984816984817,5.47349437726042,2.96137126377692e-05,0.00052266818987315,0.000286698826016175,HLA-DRB1/CCL19/RUNX1/IL18/IL2RG/LILRB4/RASGRP1/HLA-DRA/RUNX3/SOCS1/PIK3R6/IL7R,12
GO:0071634,regulation of transforming growth factor beta production,7/481,32/16547,0.21875,7.52527286902287,6.39292404269682,3.00672170470787e-05,0.00052820408738054,0.000289735428103438,FBLN1/TSKU/SERPINF2/IL13RA2/FN1/LGALS9/TYROBP,7
GO:0030852,regulation of granulocyte differentiation,5/481,14/16547,0.357142857142857,12.2861597861598,7.30969988451251,3.27478201000273e-05,0.000572632020915755,0.000314105452209864,INPP5D/HCLS1/RUNX1/ADIPOQ/C1QC,5
GO:0002819,regulation of adaptive immune response,17/481,187/16547,0.0909090909090909,3.12738612738613,5.06221566440775,3.35592487991049e-05,0.000584116510203775,0.000320405031292857,C4BPB/HLA-DRB1/C4BPA/WAS/CD1D/CCL19/TREM2/IL18/IL18R1/SAMSN1/PYCARD/PTPRC/LILRB4/HLA-DRA/LGALS1/LGALS9/HAVCR2,17
GO:0032613,interleukin-10 production,9/481,57/16547,0.157894736842105,5.43177590546012,5.79922633432082,3.57814527229949e-05,0.000617107520250008,0.000338501567551623,HLA-DRB1/TREM2/PYCARD/LILRB4/PDCD1LG2/ISG15/LGALS9/TYROBP/TIGIT,9
GO:0032653,regulation of interleukin-10 production,9/481,57/16547,0.157894736842105,5.43177590546012,5.79922633432082,3.57814527229949e-05,0.000617107520250008,0.000338501567551623,HLA-DRB1/TREM2/PYCARD/LILRB4/PDCD1LG2/ISG15/LGALS9/TYROBP/TIGIT,9
GO:0045730,respiratory burst,7/481,33/16547,0.212121212121212,7.2972342972343,6.26535738475828,3.72143510002679e-05,0.000638902744218236,0.000350456886902446,NCF4/CD52/TREM2/SLAMF8/CYBB/JCHAIN/NCF2,7
GO:1901654,response to ketone,17/481,189/16547,0.0899470899470899,3.09429209429209,5.0103517951769,3.84397157182492e-05,0.000655628899300651,0.000359631673351679,CCL19/CCR7/MMP14/TBX2/CYBB/POSTN/CARTPT/CCL21/AQP1/SERPINF1/PTPRC/SLIT3/NKX3-1/SPP1/EDN1/FOSB/SLIT2,17
GO:0072677,eosinophil migration,6/481,23/16547,0.260869565217391,8.97423845249932,6.62156596466565,3.87410000971393e-05,0.000655628899300651,0.000359631673351679,CCL19/CD300A/CCL5/CCL21/CCL4/CCL4L1,6
GO:0018108,peptidyl-tyrosine phosphorylation,13/481,118/16547,0.110169491525424,3.78996793403573,5.26259340979511,3.8882942399615e-05,0.000655628899300651,0.000359631673351679,PTK6/CSF1R/FGFR3/IL18/SAMSN1/PDGFRB/IL2RG/FES/IL4R/SFRP2/ITGB2/EFEMP1/IL7R,13
GO:0042326,negative regulation of phosphorylation,13/481,118/16547,0.110169491525424,3.78996793403573,5.26259340979511,3.8882942399615e-05,0.000655628899300651,0.000359631673351679,FBLN1/PTK6/CD300A/ADIPOQ/SAMSN1/PYCARD/IL2RG/PTPRC/IGFBP3/SFRP2/AGT/SLIT2/IL7R,13
GO:0045055,regulated exocytosis,18/481,209/16547,0.0861244019138756,2.9627868575237,4.94096759288028,4.08491816727424e-05,0.000685721596346436,0.000376138399955379,FCGR3A/CRHBP/TSPAN18/CD300A/CORO1A/MILR1/FES/LAT/TPH1/NPY/FCER1G/ITGB2/CLTRN/PTGDS/SLC18A2/LGALS9/ADGRE2/CD84,18
GO:0050878,regulation of body fluid levels,23/481,311/16547,0.0739549839228296,2.54414369848453,4.75656628821371,4.22685266245501e-05,0.000706408075490822,0.000387485540263541,C4BPB/FBLN1/F12/WAS/ANGPTL7/FGA/SERPING1/COL3A1/SAA1/VTN/SERPINF2/APLNR/CYP4F12/AQP1/FERMT3/TRPV4/TPH1/FGG/FCER1G/PROZ/FN1/EDN1/CTSG,23
GO:0032640,tumor necrosis factor production,16/481,172/16547,0.0930232558139535,3.20011603732534,5.01862011249241,4.30174866870265e-05,0.000712618628144294,0.000390892210478337,FCGR3A/SPN/CCL19/LY96/TREM2/ADIPOQ/CYBB/PYCARD/PTPRC/IGF1/LILRB4/CD33/ARG2/LGALS9/TYROBP/HAVCR2,16
GO:0032680,regulation of tumor necrosis factor production,16/481,172/16547,0.0930232558139535,3.20011603732534,5.01862011249241,4.30174866870265e-05,0.000712618628144294,0.000390892210478337,FCGR3A/SPN/CCL19/LY96/TREM2/ADIPOQ/CYBB/PYCARD/PTPRC/IGF1/LILRB4/CD33/ARG2/LGALS9/TYROBP/HAVCR2,16
GO:0010563,negative regulation of phosphorus metabolic process,15/481,154/16547,0.0974025974025974,3.35077085077085,5.07115172768078,4.36170955362469e-05,0.000716268564523498,0.000392894307593153,FBLN1/PTK6/CD300A/ADIPOQ/SAMSN1/ALDOB/PYCARD/IL2RG/PTPRC/APOC1/IGFBP3/SFRP2/AGT/SLIT2/IL7R,15
GO:0045936,negative regulation of phosphate metabolic process,15/481,154/16547,0.0974025974025974,3.35077085077085,5.07115172768078,4.36170955362469e-05,0.000716268564523498,0.000392894307593153,FBLN1/PTK6/CD300A/ADIPOQ/SAMSN1/ALDOB/PYCARD/IL2RG/PTPRC/APOC1/IGFBP3/SFRP2/AGT/SLIT2/IL7R,15
GO:0032689,negative regulation of type II interferon production,7/481,34/16547,0.205882352941176,7.08260975908035,6.14301519183636,4.56990058702147e-05,0.000747208420657147,0.000409865725794018,HLA-DRB1/LAPTM5/LILRB4/PDCD1LG2/LGALS9C/LGALS9/HAVCR2,7
GO:0007596,blood coagulation,18/481,211/16547,0.0853080568720379,2.93470356977466,4.89381970301621,4.63085394342612e-05,0.000752882585575363,0.000412978171609919,C4BPB/FBLN1/F12/WAS/ANGPTL7/FGA/SERPING1/COL3A1/SAA1/VTN/SERPINF2/FERMT3/FGG/FCER1G/PROZ/FN1/EDN1/CTSG,18
GO:0018212,peptidyl-tyrosine modification,13/481,120/16547,0.108333333333333,3.7268018018018,5.18716704013659,4.64447027903255e-05,0.000752882585575363,0.000412978171609919,PTK6/CSF1R/FGFR3/IL18/SAMSN1/PDGFRB/IL2RG/FES/IL4R/SFRP2/ITGB2/EFEMP1/IL7R,13
GO:0002573,myeloid leukocyte differentiation,17/481,192/16547,0.0885416666666667,3.04594378031878,4.93383024264768,4.6940929315645e-05,0.000757674743697398,0.000415606810838958,HLA-DRB1/CCL19/CCR7/INPP5D/TREM2/CSF1R/HCLS1/RUNX1/ADIPOQ/CARTPT/FES/CD74/LILRB4/CCR1/C1QC/SOCS1/TYROBP,17
GO:0032488,Cdc42 protein signal transduction,5/481,15/16547,0.333333333333333,11.4670824670825,7.01735978932177,4.79508719022678e-05,0.000770682736914322,0.000422742076493872,WAS/CCL19/CCR7/NTN1/APOC3,5
GO:0016064,immunoglobulin mediated immune response,14/481,138/16547,0.101449275362319,3.4899816204164,5.0822941111918,4.985319254365e-05,0.000797862323039686,0.000437650876349549,C4BPB/C3/FCGR3A/C4BPA/TREM2/C1QB/IL2RG/CD74/C2/FCER1G/C1S/C1QC/C1QA/C1R,14
GO:0060348,bone development,13/481,121/16547,0.107438016528926,3.69600178691088,5.15005798100571,5.0683849360701e-05,0.000807733751204083,0.00044306564411363,TGM2/SULF1/TNN/FGFR3/COL3A1/TSKU/NOTUM/RARG/BMPR1B/PTPRC/IGF1/TRPV4/TYROBP,13
GO:0050817,coagulation,18/481,213/16547,0.0845070422535211,2.90714766771105,4.84722315508654,5.24056697647285e-05,0.000831664767652856,0.00045619250825836,C4BPB/FBLN1/F12/WAS/ANGPTL7/FGA/SERPING1/COL3A1/SAA1/VTN/SERPINF2/FERMT3/FGG/FCER1G/PROZ/FN1/EDN1/CTSG,18
GO:0072593,reactive oxygen species metabolic process,17/481,194/16547,0.0876288659793814,3.01454229804745,4.88364069344905,5.34943157271536e-05,0.000845389248960079,0.000463720788637192,NCF4/TAFA4/IFI6/CYBB/PDGFRB/MB/CYGB/ITGB2/ARG2/SLC18A2/AGT/EDN1/TYROBP/SOD3/NCF2/FAS/DUOX2,17
GO:0035710,"CD4-positive, alpha-beta T cell activation",13/481,122/16547,0.10655737704918,3.66570669029685,5.11334098820856,5.52556148753057e-05,0.000869585239100123,0.000476992998620228,HLA-DRB1/SPN/CCL19/RUNX1/IL18/IL18R1/HLA-DRA/ARG2/RUNX3/LGALS1/LGALS9C/LGALS9/SOCS1,13
GO:0071706,tumor necrosis factor superfamily cytokine production,16/481,176/16547,0.0909090909090909,3.12738612738613,4.90942036077859,5.6830904686412e-05,0.000886984822316438,0.000486537180144837,FCGR3A/SPN/CCL19/LY96/TREM2/ADIPOQ/CYBB/PYCARD/PTPRC/IGF1/LILRB4/CD33/ARG2/LGALS9/TYROBP/HAVCR2,16
GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,16/481,176/16547,0.0909090909090909,3.12738612738613,4.90942036077859,5.6830904686412e-05,0.000886984822316438,0.000486537180144837,FCGR3A/SPN/CCL19/LY96/TREM2/ADIPOQ/CYBB/PYCARD/PTPRC/IGF1/LILRB4/CD33/ARG2/LGALS9/TYROBP/HAVCR2,16
GO:0002526,acute inflammatory response,11/481,90/16547,0.122222222222222,4.2045969045969,5.27453885451004,5.8599848752779e-05,0.000907096839095271,0.000497569211003093,FCGR3A/CD163/F12/CCR7/REG3A/SAA1/SERPINF2/IL1RN/NPY/FN1/REG3G,11
GO:0050764,regulation of phagocytosis,11/481,90/16547,0.122222222222222,4.2045969045969,5.27453885451004,5.8599848752779e-05,0.000907096839095271,0.000497569211003093,TGM2/C3/TREM2/CD300A/ADIPOQ/PYCARD/IL2RG/PTPRC/C2/FCN3/DOCK2,11
GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,12/481,107/16547,0.11214953271028,3.85808382070064,5.13193456874035,6.43919986254518e-05,0.000989210527650252,0.000542610976629358,CCL19/REG3A/CCL5/CCL21/PGC/NPY/CCL4/CXCL2/REG3G/NTS/CCL4L1/REG1B,12
GO:0042730,fibrinolysis,6/481,25/16547,0.24,8.25629937629938,6.28230554139777,6.46902304288092e-05,0.000989210527650252,0.000542610976629358,F12/FGA/SERPING1/VTN/SERPINF2/FGG,6
GO:0060350,endochondral bone morphogenesis,6/481,25/16547,0.24,8.25629937629938,6.28230554139777,6.46902304288092e-05,0.000989210527650252,0.000542610976629358,FGFR3/COL3A1/TSKU/RARG/BMPR1B/TRPV4,6
GO:0045637,regulation of myeloid cell differentiation,16/481,179/16547,0.0893854748603352,3.07497183474837,4.82954347885041,6.96169557113736e-05,0.0010579893269492,0.000580338164539143,HLA-DRB1/INPP5D/TREM2/HCLS1/RUNX1/ADIPOQ/RAB7B/CARTPT/FES/CD74/LILRB4/RHEX/ISG15/CCR1/C1QC/TYROBP,16
GO:0006887,exocytosis,24/481,343/16547,0.0699708454810496,2.40708436626804,4.55639374900948,6.97483035240539e-05,0.0010579893269492,0.000580338164539143,FCGR3A/CRHBP/TSPAN18/SYTL4/CD300A/FGA/CORO1A/CCL5/MILR1/CARTPT/FES/LAT/TPH1/NPY/FGG/FCER1G/ITGB2/CLTRN/CCR1/PTGDS/SLC18A2/LGALS9/ADGRE2/CD84,24
GO:2000106,regulation of leukocyte apoptotic process,9/481,62/16547,0.145161290322581,4.9937294614714,5.45123843038161,7.09543270133998e-05,0.00107197797251844,0.000588011346760604,CCL19/CCR7/HCLS1/AURKB/CCL5/CCL21/CD74/ARG2/LGALS9,9
GO:0045639,positive regulation of myeloid cell differentiation,11/481,92/16547,0.119565217391304,4.11319262406219,5.18103027483779,7.1865449007967e-05,0.00108141753347845,0.000593189222701359,HLA-DRB1/TREM2/HCLS1/RUNX1/RAB7B/FES/CD74/RHEX/ISG15/CCR1/TYROBP,11
GO:0045766,positive regulation of angiogenesis,15/481,161/16547,0.093167701863354,3.2050851616069,4.86482247093087,7.28535228510591e-05,0.00109193553892242,0.00059895865705999,TGM2/C3/ITGAX/CMA1/HMOX1/TNN/RUNX1/CYBB/ZG16B/APLNR/AQP1/SFRP2/ITGB2/PTGIS/PIK3R6,15
GO:0019724,B cell mediated immunity,14/481,143/16547,0.0979020979020979,3.36795429103121,4.92075361471324,7.37006435752649e-05,0.00110026612958014,0.000603528230276545,C4BPB/C3/FCGR3A/C4BPA/TREM2/C1QB/IL2RG/CD74/C2/FCER1G/C1S/C1QC/C1QA/C1R,14
GO:0050730,regulation of peptidyl-tyrosine phosphorylation,10/481,77/16547,0.12987012987013,4.46769446769447,5.27721217175807,7.51921998798278e-05,0.00111372917233768,0.00061091310394588,PTK6/CSF1R/FGFR3/IL18/SAMSN1/IL2RG/IL4R/SFRP2/ITGB2/IL7R,10
GO:0050830,defense response to Gram-positive bacterium,10/481,77/16547,0.12987012987013,4.46769446769447,5.27721217175807,7.51921998798278e-05,0.00111372917233768,0.00061091310394588,GBP2/IL18/IL18R1/LYZ/PLA2G2A/NPY/REG3G/IL7R/CTSG/HAVCR2,10
GO:0006968,cellular defense response,8/481,49/16547,0.163265306122449,5.61653018795876,5.59968035562485,7.60469654667543e-05,0.00112198979909348,0.000615444299910991,SPN/LY96/SH2D1A/MNDA/LSP1/PRF1/TYROBP/NCF2,8
GO:0046006,regulation of activated T cell proliferation,7/481,37/16547,0.189189189189189,6.5083441029387,5.80381492279108,8.11096597537007e-05,0.00118740769337104,0.000651327932879696,IL18/LAPTM5/PYCARD/IGF1/LILRB4/PDCD1LG2/LGALS9,7
GO:0048246,macrophage chemotaxis,7/481,37/16547,0.189189189189189,6.5083441029387,5.80381492279108,8.11096597537007e-05,0.00118740769337104,0.000651327932879696,TAFA4/SLAMF8/CSF1R/CCL5/SAA1/TRPV4/MMP2,7
GO:0050850,positive regulation of calcium-mediated signaling,8/481,50/16547,0.16,5.50419958419959,5.51906244640748,8.82591927471244e-05,0.00128708483013857,0.000706003764785288,IAPP/TREM2/PDGFRB/PTPRC/IGF1/CCL4/EDN1/RAMP3,8
GO:0006898,receptor-mediated endocytosis,20/481,263/16547,0.0760456273764259,2.6160644411595,4.5711046988016,9.04067895826799e-05,0.00131333247789916,0.000720401369124811,MSR1/C3/CCL19/CCR7/STAB1/RIN3/GRIA1/ADIPOQ/SIGLEC1/VTN/APOC3/APLNR/CCL21/CALY/APOC1/LILRB4/FCER1G/ITGB2/MRC2/RAMP3,20
GO:0048660,regulation of smooth muscle cell proliferation,13/481,128/16547,0.1015625,3.49387668918919,4.90085412751037,9.09619673875776e-05,0.0013141039112147,0.000720824522915689,HMOX1/ADIPOQ/IL18/PTGIR/CCL5/SERPINF2/PDGFRB/APOD/IGF1/IGFBP3/ELN/MMP2/EDN1,13
GO:0002820,negative regulation of adaptive immune response,9/481,64/16547,0.140625,4.83767541580042,5.32237247664235,9.15036612786517e-05,0.0013141039112147,0.000720824522915689,C4BPB/C4BPA/IL18/SAMSN1/PTPRC/LILRB4/LGALS1/LGALS9/HAVCR2,9
GO:0046637,regulation of alpha-beta T cell differentiation,9/481,64/16547,0.140625,4.83767541580042,5.32237247664235,9.15036612786517e-05,0.0013141039112147,0.000720824522915689,HLA-DRB1/CCL19/RUNX1/IL18/LILRB4/HLA-DRA/RUNX3/LGALS1/SOCS1,9
GO:1903027,regulation of opsonization,5/481,17/16547,0.294117647058824,10.1180139415434,6.50808853952284,9.41584070507539e-05,0.00134710720996476,0.00073892779988879,C4BPB/C3/C4BPA/C2/FCN3,5
GO:1904018,positive regulation of vasculature development,15/481,165/16547,0.0909090909090909,3.12738612738613,4.75192963434641,9.63051603279026e-05,0.0013716070139344,0.000752366660664735,TGM2/C3/ITGAX/CMA1/HMOX1/TNN/RUNX1/CYBB/ZG16B/APLNR/AQP1/SFRP2/ITGB2/PTGIS/PIK3R6,15
GO:0007260,tyrosine phosphorylation of STAT protein,7/481,38/16547,0.184210526315789,6.33707188970347,5.69901282291992,9.6960305194727e-05,0.0013716070139344,0.000752366660664735,PTK6/CSF1R/FGFR3/IL18/IL2RG/IL4R/IL7R,7
GO:0050798,activated T cell proliferation,7/481,38/16547,0.184210526315789,6.33707188970347,5.69901282291992,9.6960305194727e-05,0.0013716070139344,0.000752366660664735,IL18/LAPTM5/PYCARD/IGF1/LILRB4/PDCD1LG2/LGALS9,7
GO:0046622,positive regulation of organ growth,6/481,27/16547,0.222222222222222,7.64472164472165,5.97886600004833,0.000102918181419516,0.00145045511649817,0.000795617156632595,BASP1/TBX2/SMO/IGF1/EDN1/GLI1,6
