node,class,degree,betweenness
hsa-miR-185-5p,miRNA,2,30.6610001158964
hsa-miR-200b-3p,miRNA,2,37.1359757056673
hsa-let-7g-5p,miRNA,2,37.1359757056673
hsa-miR-199a-3p,miRNA,2,8.89710554409216
hsa-miR-128-3p,miRNA,2,8.89710554409216
hsa-miR-26a-5p,miRNA,2,8.89710554409216
hsa-miR-423-5p,miRNA,2,91.501893939394
hsa-miR-433-3p,miRNA,2,206
hsa-miR-132-3p,miRNA,2,206
hsa-miR-224-5p,miRNA,2,206
hsa-miR-101-3p,miRNA,2,16.0346945277686
hsa-miR-144-5p,miRNA,2,16.0346945277686
hsa-miR-142-5p,miRNA,2,20.0259015321914
hsa-miR-193a-3p,miRNA,2,23.9059117523903
hsa-miR-150-5p,miRNA,2,23.9059117523903
hsa-miR-486-5p,miRNA,2,206
hsa-miR-125a-5p,miRNA,2,84.1593690775182
hsa-miR-449a,miRNA,2,206
hsa-miR-141-3p,miRNA,2,65.8672823020479
hsa-let-7b-5p,miRNA,2,32.1939840816513
hsa-let-7d-5p,miRNA,2,32.1939840816513
hsa-miR-338-3p,miRNA,2,34.5216744543997
hsa-miR-20b-5p,miRNA,2,206
hsa-miR-144-3p,miRNA,2,52.9657202418547
hsa-miR-299-5p,miRNA,2,66.9183573703904
hsa-miR-4262,miRNA,2,66.9183573703904
hsa-miR-205-5p,miRNA,2,18.5521115163297
CHL1,mRNA,2,1.02083333333333
NGFR,mRNA,2,0.950490196078431
HAND2,mRNA,2,32.9779541870909
CSF1R,mRNA,2,5.79891338683183
BRCA2,mRNA,2,5.07895066889632
CDH11,mRNA,2,1.05944166522914
BMPR1B,mRNA,2,7.95877938438341
TFF1,mRNA,2,1.76666666666667
RARG,mRNA,2,1
CCR7,mRNA,2,35.0223189877595
SFRP2,mRNA,2,8.65872862025939
DIO3OS,lncRNA,1,0
LINC01013,lncRNA,1,0
RASGRP1,mRNA,1,0
ARG2,mRNA,1,0
FES,mRNA,1,0
MKI67,mRNA,1,0
POSTN,mRNA,1,0
PTP4A3,mRNA,1,0
MARCKSL1,mRNA,1,0
SIGLEC1,mRNA,1,0
VCAN,mRNA,1,0
COL16A1,mRNA,1,0
CXCL2,mRNA,1,0
LGALS9,mRNA,1,0
RGS16,mRNA,1,0
IKZF1,mRNA,1,0
RAB34,mRNA,1,0
LGALS1,mRNA,1,0
TWIST2,mRNA,1,0
GBP2,mRNA,1,0
IL18,mRNA,1,0
MUC13,mRNA,1,0
TREM2,mRNA,1,0
SERPINF2,mRNA,1,0
LSP1,mRNA,1,0
CIT,mRNA,1,0
ABCC2,mRNA,1,0
HOXB4,mRNA,1,0
ALPK2,mRNA,1,0
CCL4,mRNA,1,0
LAMB3,mRNA,1,0
COL15A1,mRNA,1,0
MFAP4,mRNA,1,0
SLPI,mRNA,1,0
GPR85,mRNA,1,0
ASCL1,mRNA,1,0
IGFBP3,mRNA,1,0
EPHB4,mRNA,1,0
CFH,mRNA,1,0
GRIA1,mRNA,1,0
AQP1,mRNA,1,0
