lncRNA,mature_mirna_id,target_symbol
NEAT1,hsa-miR-26b-5p,IGF1
NEAT1,hsa-miR-26b-5p,CCN2
NEAT1,hsa-miR-27a-3p,SIGLEC1
NEAT1,hsa-miR-27a-3p,IGF1
NEAT1,hsa-miR-27b-3p,CDH11
NEAT1,hsa-miR-27b-3p,RUNX1
NEAT1,hsa-miR-28-5p,IGF1
GAS6-AS1,hsa-miR-28-5p,IGF1
PURPL,hsa-miR-28-5p,IGF1
NEAT1,hsa-miR-296-5p,NGFR
NEAT1,hsa-miR-299-5p,SPP1
NEAT1,hsa-miR-29a-3p,RASGRP1
NEAT1,hsa-miR-29a-3p,MMP2
NEAT1,hsa-miR-29a-3p,SERPINH1
NEAT1,hsa-miR-29a-3p,FGA
NEAT1,hsa-miR-29a-3p,COL4A2
NEAT1,hsa-miR-29a-3p,PDGFRB
NEAT1,hsa-miR-29a-3p,IGF1
NEAT1,hsa-miR-29a-3p,ELN
NEAT1,hsa-miR-29a-3p,GPR85
NEAT1,hsa-miR-29a-3p,COL3A1
NEAT1,hsa-miR-29a-3p,FGG
NEAT1,hsa-miR-29a-3p,SFRP2
PURPL,hsa-miR-29a-3p,RASGRP1
PURPL,hsa-miR-29a-3p,MMP2
PURPL,hsa-miR-29a-3p,SERPINH1
PURPL,hsa-miR-29a-3p,FGA
PURPL,hsa-miR-29a-3p,COL4A2
PURPL,hsa-miR-29a-3p,PDGFRB
PURPL,hsa-miR-29a-3p,IGF1
PURPL,hsa-miR-29a-3p,ELN
PURPL,hsa-miR-29a-3p,GPR85
PURPL,hsa-miR-29a-3p,COL3A1
PURPL,hsa-miR-29a-3p,FGG
PURPL,hsa-miR-29a-3p,SFRP2
NEAT1,hsa-miR-29b-3p,MMP2
NEAT1,hsa-miR-29b-3p,SERPINH1
NEAT1,hsa-miR-29b-3p,COL1A1
NEAT1,hsa-miR-29b-3p,FGA
NEAT1,hsa-miR-29b-3p,COL4A2
NEAT1,hsa-miR-29b-3p,PDGFRB
NEAT1,hsa-miR-29b-3p,COL3A1
NEAT1,hsa-miR-29b-3p,FGG
PURPL,hsa-miR-29b-3p,MMP2
PURPL,hsa-miR-29b-3p,SERPINH1
PURPL,hsa-miR-29b-3p,COL1A1
PURPL,hsa-miR-29b-3p,FGA
PURPL,hsa-miR-29b-3p,COL4A2
PURPL,hsa-miR-29b-3p,PDGFRB
PURPL,hsa-miR-29b-3p,COL3A1
PURPL,hsa-miR-29b-3p,FGG
NEAT1,hsa-miR-29c-3p,MMP2
NEAT1,hsa-miR-29c-3p,SERPINH1
NEAT1,hsa-miR-29c-3p,COL1A1
NEAT1,hsa-miR-29c-3p,FGA
NEAT1,hsa-miR-29c-3p,COL4A2
NEAT1,hsa-miR-29c-3p,PDGFRB
NEAT1,hsa-miR-29c-3p,COL15A1
NEAT1,hsa-miR-29c-3p,COL3A1
PURPL,hsa-miR-29c-3p,MMP2
PURPL,hsa-miR-29c-3p,SERPINH1
PURPL,hsa-miR-29c-3p,COL1A1
PURPL,hsa-miR-29c-3p,FGA
PURPL,hsa-miR-29c-3p,COL4A2
PURPL,hsa-miR-29c-3p,PDGFRB
PURPL,hsa-miR-29c-3p,COL15A1
PURPL,hsa-miR-29c-3p,COL3A1
NEAT1,hsa-miR-301a-3p,RUNX3
NEAT1,hsa-miR-302d-3p,NR4A2
