from,to,type
NEAT1,hsa-miR-758-3p,lncRNA-miRNA
NEAT1,hsa-miR-22-3p,lncRNA-miRNA
NEAT1,hsa-miR-183-5p,lncRNA-miRNA
DLGAP1-AS1,hsa-miR-425-5p,lncRNA-miRNA
DLGAP1-AS1,hsa-miR-138-5p,lncRNA-miRNA
NR2F2-AS1,hsa-miR-320a,lncRNA-miRNA
NR2F2-AS1,hsa-miR-18a-5p,lncRNA-miRNA
NR2F2-AS1,hsa-miR-18b-5p,lncRNA-miRNA
NR2F2-AS1,hsa-miR-23a-3p,lncRNA-miRNA
NR2F2-AS1,hsa-miR-23b-3p,lncRNA-miRNA
NR2F2-AS1,hsa-miR-19a-3p,lncRNA-miRNA
NR2F2-AS1,hsa-miR-19b-3p,lncRNA-miRNA
LINC01915,hsa-miR-25-3p,lncRNA-miRNA
LINC01915,hsa-miR-92a-3p,lncRNA-miRNA
LINC01915,hsa-miR-92b-3p,lncRNA-miRNA
MSC-AS1,hsa-miR-302d-3p,lncRNA-miRNA
MSC-AS1,hsa-miR-372-3p,lncRNA-miRNA
CASC15,hsa-miR-214-3p,lncRNA-miRNA
CASC15,hsa-miR-148a-3p,lncRNA-miRNA
CASC15,hsa-miR-148b-3p,lncRNA-miRNA
CASC15,hsa-miR-152-3p,lncRNA-miRNA
GAS6-AS1,hsa-miR-483-3p,lncRNA-miRNA
GAS6-AS1,hsa-miR-708-5p,lncRNA-miRNA
GAS6-AS1,hsa-miR-28-5p,lncRNA-miRNA
GAS6-AS1,hsa-miR-148a-3p,lncRNA-miRNA
GAS6-AS1,hsa-miR-148b-3p,lncRNA-miRNA
GAS6-AS1,hsa-miR-152-3p,lncRNA-miRNA
GAS6-AS1,hsa-miR-326,lncRNA-miRNA
GAS6-AS1,hsa-miR-19a-3p,lncRNA-miRNA
GAS6-AS1,hsa-miR-19b-3p,lncRNA-miRNA
GAS6-AS1,hsa-miR-30c-5p,lncRNA-miRNA
GAS6-AS1,hsa-miR-30b-5p,lncRNA-miRNA
GAS6-AS1,hsa-miR-30a-5p,lncRNA-miRNA
GAS6-AS1,hsa-miR-30d-5p,lncRNA-miRNA
LINC01013,hsa-miR-199a-5p,lncRNA-miRNA
PURPL,hsa-miR-29a-3p,lncRNA-miRNA
PURPL,hsa-miR-29c-3p,lncRNA-miRNA
PURPL,hsa-miR-29b-3p,lncRNA-miRNA
PURPL,hsa-miR-221-3p,lncRNA-miRNA
PURPL,hsa-miR-222-3p,lncRNA-miRNA
PURPL,hsa-miR-199a-5p,lncRNA-miRNA
PURPL,hsa-miR-708-5p,lncRNA-miRNA
PURPL,hsa-miR-28-5p,lncRNA-miRNA
PURPL,hsa-miR-25-3p,lncRNA-miRNA
PURPL,hsa-miR-92a-3p,lncRNA-miRNA
PURPL,hsa-miR-92b-3p,lncRNA-miRNA
hsa-miR-326,GLI1,miRNA-mRNA
hsa-miR-125b-5p,GLI1,miRNA-mRNA
hsa-miR-324-5p,GLI1,miRNA-mRNA
hsa-miR-133b,GLI1,miRNA-mRNA
