Sample	Unique Reads	Duplicate Reads
SRR13380421_1	14376008.0	13052906.0
SRR13380425_1	14497770.0	11598340.0
SRR13380426_1	13397899.0	10894625.0
SRR13380427_1	12952635.0	12722617.0
SRR13380430_1	16537677.0	11415671.0
SRR13380434_1	14107471.0	9960120.0
SRR13380441_1	11110522.0	21040461.0
SRR13380446_1	17911913.0	12275956.0
SRR13380448_1	5927355.0	3566357.0
SRR13380458_1	5032531.0	2750489.0
SRR13380466_1	5200727.0	3508472.0
SRR13380471_1	3450111.0	2294327.0
